text,stress_level
"Feeling a bit uneasy about the news, but managing.",medium
Just finished listening to music and feeling calm.,low
I'm in a positive mood today. Feeling in control of things.,low
I don't know how to cope with this tension. I feel hopeless about the situation.,high
"A bit worried about work, but trying to stay positive.",medium
This exhaustion is destroying me. I feel like I'm losing control.,high
"Some irritated situations at the meeting, but I'll get through it.",medium
Had a calm day at the gym. Focusing on the positive.,low
I'm at my breaking point with my responsibilities. I feel hopeless about the situation.,high
"Things are somewhat pressured with my living situation, but not too bad.",medium
