text,stress_level,cleaned_text,tokens,vader_scores,stress_keywords_found
"Feeling a bit uneasy about the news, but managing.",medium,feeling a bit uneasy about the news but managing,"['feeling', 'bit', 'uneasy', 'news', 'managing']","{'neg': 0.199, 'neu': 0.663, 'pos': 0.138, 'compound': -0.1406}","{'high': 0, 'medium': 0, 'low': 1}"
Just finished listening to music and feeling calm.,low,just finished listening to music and feeling calm,"['finished', 'listening', 'music', 'feeling', 'calm']","{'neg': 0.0, 'neu': 0.612, 'pos': 0.388, 'compound': 0.4215}","{'high': 0, 'medium': 0, 'low': 1}"
I'm in a positive mood today. Feeling in control of things.,high,im in a positive mood today feeling in control of things,"['im', 'positive', 'mood', 'today', 'feeling', 'control', 'thing']","{'neg': 0.0, 'neu': 0.611, 'pos': 0.389, 'compound': 0.6249}","{'high': 0, 'medium': 0, 'low': 0}"
I don't know how to cope with this tension. I feel hopeless about the situation.,high,i dont know how to cope with this tension i feel hopeless about the situation,"['dont', 'know', 'cope', 'tension', 'feel', 'hopeless', 'situation']","{'neg': 0.338, 'neu': 0.662, 'pos': 0.0, 'compound': -0.6833}","{'high': 1, 'medium': 1, 'low': 0}"
"A bit worried about work, but trying to stay positive.",low,a bit worried about work but trying to stay positive,"['bit', 'worried', 'work', 'trying', 'stay', 'positive']","{'neg': 0.119, 'neu': 0.519, 'pos': 0.363, 'compound': 0.6486}","{'high': 0, 'medium': 1, 'low': 0}"
This exhaustion is destroying me. I feel like I'm losing control.,low,this exhaustion is destroying me i feel like im losing control,"['exhaustion', 'destroying', 'feel', 'like', 'im', 'losing', 'control']","{'neg': 0.506, 'neu': 0.349, 'pos': 0.145, 'compound': -0.7351}","{'high': 0, 'medium': 0, 'low': 0}"
"Some irritated situations at the meeting, but I'll get through it.",medium,some irritated situations at the meeting but ill get through it,"['irritated', 'situation', 'meeting', 'ill', 'get']","{'neg': 0.167, 'neu': 0.833, 'pos': 0.0, 'compound': -0.25}","{'high': 0, 'medium': 0, 'low': 0}"
Had a calm day at the gym. Focusing on the positive.,low,had a calm day at the gym focusing on the positive,"['calm', 'day', 'gym', 'focusing', 'positive']","{'neg': 0.0, 'neu': 0.576, 'pos': 0.424, 'compound': 0.7096}","{'high': 0, 'medium': 0, 'low': 1}"
I'm at my breaking point with my responsibilities. I feel hopeless about the situation.,high,im at my breaking point with my responsibilities i feel hopeless about the situation,"['im', 'breaking', 'point', 'responsibility', 'feel', 'hopeless', 'situation']","{'neg': 0.2, 'neu': 0.8, 'pos': 0.0, 'compound': -0.4588}","{'high': 1, 'medium': 0, 'low': 0}"
"Things are somewhat pressured with my living situation, but not too bad.",high,things are somewhat pressured with my living situation but not too bad,"['thing', 'somewhat', 'pressured', 'living', 'situation', 'bad']","{'neg': 0.086, 'neu': 0.663, 'pos': 0.25, 'compound': 0.5379}","{'high': 0, 'medium': 0, 'low': 0}"
